game_id,cause,end_time,game_id,result,start_time,team
385,Shot,23:34,5,Goal,23:43,Navy
386,Draw,22:53,5,Turnover,0:00,Navy
387,Turnover,22:47,5,Clear,22:50,opponent
388,Clear,22:37,5,Shot,22:47,opponent
389,Turnover,22:26,5,Clear,22:34,Navy
390,Clear,21:40,5,Goal,22:26,Navy
391,Draw,21:10,5,Shot,0:00,Navy
392,Turnover,21:10,5,Clear,21:10,opponent
393,Clear,19:59,5,Shot,21:10,opponent
394,Shot,19:40,5,Shot,19:59,opponent
395,Shot,19:27,5,Clear,19:40,opponent
396,Clear,18:59,5,Turnover,19:27,Navy
397,Turnover,18:47,5,Clear,18:50,opponent
398,Clear,18:26,5,Turnover,18:47,opponent
399,Turnover,18:11,5,Clear,18:26,Navy
400,Clear,17:47,5,Goal,18:11,Navy
401,Draw,17:13,5,Goal,0:00,Navy
402,Draw,16:47,5,Shot,0:00,Navy
403,Shot,16:13,5,Goal,16:47,Navy
404,Draw,15:51,5,Goal,0:00,opponent
405,Draw,15:25,5,Turnover,0:00,Navy
406,Turnover,14:56,5,Clear,15:25,opponent
407,Clear,14:03,5,Shot,14:56,opponent
408,Shot,14:00,5,Shot,14:03,opponent
409,Shot,13:49,5,Clear,14:00,opponent
410,Clear,13:16,5,Shot,13:49,Navy
411,Turnover,13:00,5,Clear,13:12,opponent
412,Clear,12:45,5,Shot,13:00,opponent
413,Turnover,12:28,5,Clear,12:39,Navy
414,Clear,12:06,5,Goal,12:28,Navy
415,Draw,11:10,5,Shot,0:00,Navy
416,Shot,10:46,5,Clear,11:10,Navy
417,Clear,10:29,5,Turnover,10:46,opponent
418,Turnover,10:20,5,Clear,10:23,Navy
419,Clear,9:50,5,Turnover,10:20,Navy
420,Turnover,9:36,5,Clear,9:47,opponent
421,Clear,8:46,5,Turnover,9:36,opponent
422,Turnover,8:39,5,Clear,8:43,Navy
423,Clear,8:27,5,Goal,8:39,Navy
424,Draw,7:10,5,Shot,0:00,opponent
425,Shot,6:56,5,Clear,7:10,opponent
426,Clear,6:55,5,Turnover,6:56,Navy
427,Turnover,6:18,5,Shot,6:51,opponent
428,Shot,5:55,5,Turnover,6:18,opponent
429,Turnover,5:43,5,Clear,5:53,Navy
430,Clear,4:54,5,Turnover,5:43,Navy
431,Turnover,4:39,5,Clear,4:52,opponent
432,Clear,3:56,5,Shot,4:39,opponent
433,Turnover,3:38,5,Clear,3:53,Navy
434,Clear,3:21,5,Goal,3:38,Navy
435,Draw,2:34,5,Goal,0:00,Navy
436,Draw,2:16,5,Shot,0:00,Navy
437,Shot,1:56,5,Clear,2:16,Navy
438,Clear,1:55,5,Turnover,1:56,opponent
439,Turnover,1:48,5,Turnover,1:51,Navy
440,Turnover,1:19,5,Clear,1:44,opponent
441,Clear,1:08,5,Goal,1:19,opponent
442,Draw,0:35,5,Goal,0:00,Navy
443,Draw,0:02,5,Shot,0:00,opponent
444,Draw,29:16:00,5,Goal,0:00,opponent
445,Draw,28:59:00,5,Shot,0:00,Navy
446,Turnover,28:45:00,5,Clear,28:56:00,opponent
447,Clear,28:39:00,5,Shot,28:45:00,opponent
448,Shot,27:35:00,5,Goal,28:39:00,opponent
449,Draw,27:00:00,5,Shot,0:00,Navy
450,Shot,26:51:00,5,Clear,27:00:00,Navy
451,Clear,26:35:00,5,Turnover,26:51:00,opponent
452,Turnover,26:19:00,5,Clear,26:33:00,Navy
453,Clear,25:42:00,5,Goal,26:19:00,Navy
454,Draw,25:09:00,5,Shot,0:00,opponent
455,Shot,25:09:00,5,Shot,25:09:00,opponent
456,Turnover,24:54:00,5,Clear,25:04:00,Navy
457,Clear,24:43:00,5,Goal,24:54:00,Navy
458,Draw,24:14:00,5,Shot,0:00,Navy
459,Shot,23:55,5,Turnover,24:14:00,Navy
460,Turnover,23:48,5,Clear,23:55,opponent
461,Clear,23:35,5,Shot,23:48,opponent
462,Shot,23:03,5,Clear,23:35,opponent
463,Clear,22:55,5,Turnover,23:03,Navy
464,Turnover,22:38,5,Clear,22:55,opponent
465,Clear,22:08,5,Goal,22:38,opponent
466,Draw,21:21,5,Shot,0:00,opponent
467,Shot,21:00,5,Clear,21:21,opponent
468,Clear,20:38,5,Turnover,21:00,Navy
469,Turnover,20:24,5,Clear,20:35,opponent
470,Clear,19:49,5,Shot,20:24,opponent
471,Shot,19:35,5,Clear,19:49,opponent
472,Clear,19:34,5,Turnover,19:35,Navy
473,Turnover,19:29,5,Goal,19:30,opponent
474,Draw,18:40,5,Goal,0:00,opponent
475,Draw,17:49,5,Shot,0:00,Navy
476,Shot,17:16,5,Clear,17:49,Navy
477,Clear,16:58,5,Turnover,17:16,Navy
478,Turnover,16:48,5,Clear,16:55,opponent
479,Clear,16:47,5,Turnover,16:48,opponent
480,Turnover,16:10,5,Goal,16:37,Navy
481,Draw,15:35,5,Shot,0:00,opponent
482,Turnover,15:08,5,Clear,15:31,Navy
483,Clear,14:33,5,Shot,15:08,Navy
484,Shot,14:12,5,Shot,14:33,Navy
485,Shot,14:09,5,Shot,14:12,opponent
486,Shot,13:44,5,Clear,14:09,opponent
487,Clear,13:43,5,Turnover,13:44,opponent
488,Turnover,13:36,5,Clear,13:43,Navy
489,Clear,13:02,5,Goal,13:36,Navy
490,Draw,12:12,5,Shot,0:00,opponent
491,Shot,11:41,5,Goal,12:12,opponent
492,Draw,11:27,5,Clear,0:00,Navy
493,Clear,10:58,5,Goal,11:27,Navy
494,Draw,10:37,5,Shot,0:00,Navy
495,Turnover,10:16,5,Clear,10:33,opponent
496,Clear,9:12,5,Shot,10:16,opponent
497,Shot,9:04,5,Shot,9:12,opponent
498,Shot,8:51,5,Clear,9:04,opponent
499,Clear,8:33,5,Shot,8:51,Navy
500,Shot,8:19,5,Shot,8:33,Navy
501,Shot,7:48,5,Turnover,8:19,Navy
502,Turnover,7:39,5,Clear,7:45,opponent
503,Clear,7:12,5,Shot,7:39,opponent
504,Shot,7:01,5,Clear,7:12,opponent
505,Clear,6:43,5,Shot,7:01,Navy
506,Shot,6:28,5,Clear,6:43,Navy
507,Clear,5:46,5,Shot,6:28,opponent
508,Shot,5:23,5,Clear,5:46,opponent
509,Clear,4:47,5,Goal,5:23,Navy
510,Draw,4:20,5,Turnover,0:00,opponent
511,Turnover,3:46,5,Clear,4:20,Navy
512,Clear,3:10,5,Shot,3:46,Navy
513,Shot,1:58,5,Shot,3:10,Navy
514,Turnover,1:46,5,Clear,1:55,opponent
515,Clear,1:42,5,Goal,1:46,opponent
516,Draw,0:46,5,Shot,0:00,Navy
517,Shot,0:30,5,Goal,0:46,Navy
518,Draw,29:23:00,6,Shot,0:00,Navy
519,Shot,29:13:00,6,Shot,29:23:00,Navy
520,Turnover,28:47:00,6,Clear,29:08:00,opponent
521,Clear,28:46:00,6,Turnover,28:47:00,opponent
522,Turnover,27:58:00,6,Shot,28:43:00,Navy
523,Turnover,27:48:00,6,Goal,27:55:00,Navy
524,Draw,27:19:00,6,Shot,0:00,Navy
525,Shot,27:05:00,6,Clear,27:19:00,Navy
526,Clear,27:05:00,6,Turnover,27:05:00,opponent
527,Turnover,26:44:00,6,Shot,27:05:00,Navy
528,Shot,26:29:00,6,Clear,26:44:00,Navy
529,Clear,25:58:00,6,Turnover,26:29:00,opponent
530,Turnover,25:40:00,6,Clear,25:56:00,Navy
531,Clear,25:21:00,6,Goal,25:40:00,Navy
532,Draw,25:08:00,6,Turnover,0:00,opponent
533,Turnover,24:38:00,6,Clear,25:08:00,Navy
534,Clear,24:25:00,6,Goal,24:38:00,Navy
535,Draw,23:56,6,Goal,0:00,Navy
536,Draw,23:25,6,Shot,0:00,Navy
537,Shot,23:08,6,Clear,23:25,Navy
538,Clear,23:07,6,Turnover,23:08,opponent
539,Turnover,22:46,6,Clear,23:04,Navy
540,Clear,22:13,6,Shot,22:46,Navy
541,Shot,21:43,6,Goal,22:13,Navy
542,Draw,21:17,6,Turnover,0:00,Navy
543,Turnover,20:54,6,Clear,21:12,opponent
544,Clear,20:31,6,Goal,20:54,opponent
545,Draw,19:50,6,Shot,0:00,Navy
546,Shot,19:41,6,Clear,19:50,Navy
547,Clear,19:29,6,Turnover,19:41,opponent
548,Turnover,19:23,6,Shot,19:29,Navy
549,Shot,19:06,6,Clear,19:23,Navy
550,Clear,19:05,6,Turnover,19:06,opponent
551,Turnover,18:23,6,Shot,18:58,Navy
